title,brand,Category,Sub_Category,Column1,Column2,description
Cachet LED Nightlight Round Quiet Closed Front Toilet Seat in Black Black,KOHLER,,,,,"With KOHLER Nightlight technology, you can safely locate your toilet in the dark without turning on the light. This Cachet toilet seat includes an LED guide light on a 7-hour cycle to help you see your toilet in the dark, as well as LED lighting that illuminates the bowl when the lid is lifted. Unique Grip-Tight bumpers hold the seat firmly in place and prevent shifting. This soft-close seat also features innovative technology that prevents the seat from slamming and simplifies both cleaning and installation."
8 in. x 8 in. x 2 in. Schedule 40 PVC Reducing Tee SxSxS,DURA,,,,,This fitting is manufactured using type 1 grade 1 PVC for optimum performance. This fitting is suitable for potable water. This fitting is an 8 in. x 8 in. x 2 in. reducing tee with slip x slip x slip connections.
,,,,,,
Disc Brake Rotor 2016 Mazda CX-5 2.0L,Centric Parts,,,,,"Excellent performance, service life and value for a wide range of applications. Centric disc brake rotor's built a reputation in the automotive industry for quality and craftmanship. We manufacture disc brake rotor's for virtually every automobile on the road today. Centric disc brake rotor's are available for on and off road use and are designed for all weather conditions."
Foot Spa Bath Massager with 2-Angle Shower and Motorized Rollers in Green,Costway,,,,,"Our foot bath massager is an ideal helper to relieve your foot fatigue and promote blood circulation. With motorized roller massage and shiatsu massage, you can enjoy pressing and kneading at home. Red light, medicine box and shower function effectively upgrade massage experience and improve the therapeutic effect. Thanks to the heating system and temperature maintenance, you can enjoy the warmth without adding extra hot water. Also, the timer setting function allows you freely to set the using time during 10 min to 60 min. Besides, the detachable massage surface is easy to clean and replace, and the automatic drainpipe to empty the water tank by gravity. In a word, our foot spa massager is suitable for the whole family to improve daily life quality."
Claymore 8 in. Widespread 2-Handle Bathroom Faucet in Brushed Nickel,Peerless,,,,,"This 8 in. 2-Handle Bathroom Faucet in Brushed Nickel is an easy and affordable way to update the look of your bath. Its simple design complements a variety of design styles. You can buy with confidence, knowing that Peerless backs this faucet with a Lifetime limited warranty."
Contractor Select Contemporary Cylinder 2-Light Brushed Nickel 3K LED Vanity Light,Lithonia Lighting,,,,,"The Contemporary Cylinder LED Vanity from Lithonia Lighting offers the perfect balance between LED energy efficiency and attractive modern style. Replacing your traditional-sourced vanity lights with this integrated LED vanity will instantly update the decor in your bath or powder room and will significantly lower your energy usage. This fixture is easy to install, maintenance free, and provides the high quality, even illumination ideal for vanity applications. Design Tip: this 1 ft. vanity fixture can also be used as a decorative sconce in a hallway application."
12-3/4 in. x 67 in. Polypropylene 3-Board Open Board and Batten Shutters Pair in Terra Brown,Ply Gem,,,,,"From countryside to cottage to Craftsman, Board and Batten Shutters from Ply Gem add rustic charm to a variety of home styles. They come in 3-board open and 4-board closed styles, as well as a wide variety of standard heights and widths to fit virtually any window. Unique to Ply Gem, the Board and Batten Shutters feature an innovative hidden fastener, providing visual appeal with a special batten that slides to hide the screws."
Green Premium Cooling Heavy Soft Fabric Breathable 60 in. x 80 in. 15 lbs. Weighted Blanket,Costway,,,,,"Are you worried about sleep problems. We highly recommend you this ultra soft cooling weighted blanket, which is designed to relax body and improve your sleep quality. It can help you fall asleep faster and sleep better. The cool and smooth fabric makes it more skin-friendly and breathable. The safe small glass beads are evenly distributed, allowing you to feel calm and relaxed naturally. Compared with common quilts, it is more close-fitting to any sleeping posture. In addition, it can produce smaller temperature fluctuations, thus helping you get to sleep faster and lengthen the sleeping time. It is the perfect sleeping gift for Christmas, Valentine's Day and birthday."
Fashion Book Pile Glam Designer Accessories Blue Gold By Ziwei Li Framed Print Nature Texturized Art 24 in. x 24 in.,The Stupell Home Decor Collection,,,,,"It is time to set up your room with of our fresh new Framed Giclee Textured Wall Art pieces. You may have seen our Wooden or Canvas products, but our framed products are now available in three alluring styles: black, gray farmhouse and white. Our textured artwork will add more depth and dimension to any space. Each piece is mounted with a 1.5 in. thick white wood grain frame that is ready to hang. Looking for a statement piece. We have oversized artwork available."
,,,,,,
Patiorama 2-Piece Wicker Outdoor Patio Ottoman with Brown Cushions,Unbranded,,,,,"Patiorama patio furniture provides the perfect setting for your outdoor activities. When it comes to kicking back and enjoying some time outside, you want to feel relaxed and comfortable while you are watching the kids ride bikes, gathering with friends or families for cocktails, chatting, or have a happy BBQ time to enrich the conversation and escape from your busy life. Patiorama furniture has been hand woven for standard. Each garden set within the Patiorama furniture will set off a contemporary and stylish vibe allowing you to sit back and relax in style in the comfort of your very home. The weather-resistant wicker is hand-woven over a rust-resistant frame. The durability of this set is brilliant."
Single-Handle Pull-Down Sprayer Kitchen Faucet with 4-Modes in Brushed Nickel,ELLO&ALLO,,,,,"The single handle kitchen faucet features a professional look with an easy to clean spray face. The pull-down spray head switches from aerated flow to spray at the touch of a button for powerful cleaning. Updated mechanical retraction system catch holds the spray head in place when not in use for added convenience. Protect your family from cold water and hot water, especially elderly people and children."
Retro Hex Cendra 14-1/8 in. x 16-1/4 in. Porcelain Floor and Wall Tile (11.05 sq. ft. / case),Merola Tile,,,,,"Add a retro touch to your home with the Merola Tile Retro Hex Cendra 14-1/8 in. x 16-1/4 in. Porcelain Floor and Wall Tile. Crafted in Spain, this partilly handmade tile offers the look of real wood with the durability of porcelain. Imitation scuffs and spots create the look of distressed, painted wood. The smoke gray glaze features detailed grain accentuated in rich ochre shades. Each case has 12 variations of pattern arrangements randomly scattered throughout it, creating a unique look. This impervious tile is ideal for indoor and outdoor use, including floors, walls and patios."
"ONE+ 18V 6 Gal. Cordless Wet/Dry Vacuum (Tool Only) with Hose, Crevice Tool, Floor Nozzle and Extension Wand",RYOBI,,,,,"RYOBI introduces the ONE+ 6 Gal. Wet/Dry Vacuum. Now, you can experience the corded performance with cordless convenience. This vacuum has a powerful 80 CFM. The multi-size no-tip wheel design and 360 degree mobility keeps your vacuum balanced when rolling over cords and thresholds. On-board accessory storage conveniently holds your crevice tool, floor nozzle and extension wands, while the hose dock provides a simple solution to storing your hose when not in use. Multiple carrying handles allow for easy carrying and the removable top makes emptying dust, debris and liquids quick and mess-free. The compact design allows for space-saving storage when not in use. Replacement filters are sold separately with a model number of A32RF01N. Best of all, this kit is part of the RYOBI ONE+ System of over 225 Cordless Tools that all work on the same battery platform. Backed by the RYOBI 3-Year Manufacturer's Warranty, the ONE+ 6 Gal. Wet/Dry Vacuum includes a 7 ft. x 1-7/8 in. hose, a crevice tool, a floor nozzle, a cartridge style filter, two extension wands, and an operator's manual. Battery and charger sold separately."
Mini 1-Light Antique Bronze Indoor/Outdoor Lamp/Lantern Wall Mount/Wall Sconce with Clear Cylindrical Glass,Volume Lighting,,,,,"This indoor or outdoor antique bronze lamp/lantern wall mount or wall sconce features clear cylindrical glass. Enjoy this piece's sleek, modern design. Perfect for many indoor or outdoor areas. Enjoy rain or shine conveniently suitable for wet locations. Beautifully finished in a sophisticated antique bronze."
24.38 in. x 14 in. x 6 in. White Above Counter Ceramic Rectangular Vessel Sink with Pop Up Drain,Boyel Living,,,,,"Bathroom vessel sinks make the bathroom look modern and stylish adding some timeless appeal and functionality. They are a great addition to any bathroom allowing for the harmonious flow of water from the faucet to the sink without any spilling. These bathroom vessel sink offer homeowners the much-needed convenience in the bathroom. Made of premium ceramic with a glaze of crystalline, solid and delicate, durable and versatile, the white bathroom sink has no risk of thermal shock and it will not blister, melt or discolor from hot water. The above counter sink will nicely fit on the counter with a center hole to provide maximum water drainage, smooth and polish surface of the art basin making it easy to clean and maintain and always shines like a brand new one with bright white color. In the meanwhile, the vanity sink is scratch resistant, acid resistance and low in water absorption and highly durable to serve you for many years to come. White ceramic finish vessel sink bowl is perfect fit for any bathroom and it delivers an amazing modern look in your bathroom, itâ€™s a good pick for most families decoration."
"1 in. P X 10-1/2 in. C X 30 in. OD X 4 in. ID Daisy Architectural Grade PVC Contemporary Ceiling Medallion, Two Piece",Ekena Millwork,,,,,"Increase the value of your home and create a timeless focal point with a low-cost easily installed ceiling medallion. Completely change the appearance of a drab or older style ceiling with a decorative PVC ceiling medallion. Make a big difference, by adding the finishing touch to your light fixture with a coordinating ceiling medallion. With limitless designs, our medallions add dimension, texture and character that matches every decor style."
1 in. P X 10-1/2 in. C X 30 in. OD X 3 in. ID Daisy Architectural Grade PVC Contemporary Ceiling Medallion,Ekena Millwork,,,,,"Increase the value of your home and create a timeless focal point with a low-cost easily installed ceiling medallion. Completely change the appearance of a drab or older style ceiling with a decorative PVC ceiling medallion. Make a big difference, by adding the finishing touch to your light fixture with a coordinating ceiling medallion. With limitless designs, our medallions add dimension, texture and character that matches every decor style."
"Custom Size Stair Treads Solid Beige Color 144"" x 36"" Indoor Matching Runner Slip Resistant Backing 1 Piece",Unbranded,,,,,"Our Custom Size Latex Back Matching Runners offers a large variety of Size and Designs. They are machine made, printed, synthetic (nylon), slip resistant latex backed Customize stair treads. Exclusively cut and binded in Usa Faciliity."
"BlindsAvenue Cordless Blackout Cellular Fabric Shade, 9/16 in. Single Cell, Antique Pewter, Size: 48 in. W x 72 in. L",BlindsAvenue,,,,,"BlindsAvenue blackout cellular shades will save you money on your energy bills. Your home stays cooler in the summer and warmer in the winter with our 9/16 in. single cell blackout cellular shade. BlindsAvenue neutral tones and popular colors will give you the ability to design your room in style. These shades are perfect for bedrooms, blocking the glare on your TV and in any room where you want to block the light. The strong PVC rails will give you the durability that you need. The blackout fabric will give you complete privacy while blocking the light into the room. BlindsAvenue blackout cellular shades can be ordered to fit any window between 18 in. and 72 in. wide and up to 72 in. tall. BlindsAvenue light filtering cellular shades with cordless operation allows the shade to stop at any length up to 72 in. tall. For windows less than 48 in. tall order the 48 in. height. For windows between 48 in. tall and 72 in. tall order the 72 in. length, you just simply lower the shade at the desired length. BlindsAvenue cordless option also means the cellular shades are perfect for child and pet safety. From home offices to living rooms, nurseries to basements, blackout cellular shades are perfect for any area of your home or office. Browse our selection of colors and sizes now. We know that you will find something you love."
Warm Cocoa Cordless Blackout Fabric Cellular Shade 9/16 in. Single Cell 53 in. W x 72 in. L,BlindsAvenue,,,,,"BlindsAvenue blackout cellular shades will save you money on your energy bills. Your home stays cooler in the summer and warmer in the winter with our 9/16 in. single cell blackout cellular shade. BlindsAvenue neutral tones and popular colors will give you the ability to design your room in style. These shades are perfect for bedrooms, blocking the glare on your TV and in any room where you want to block the light. The strong PVC rails will give you the durability that you need. The blackout fabric will give you complete privacy while blocking the light into the room. BlindsAvenue blackout cellular shades can be ordered to fit any window between 18 in. and 72 in. wide and up to 72 in. tall. BlindsAvenue light filtering cellular shades with cordless operation allows the shade to stop at any length up to 72 in. tall. For windows less than 48 in. tall order the 48 in. height. For windows between 48 in. tall and 72 in. tall order the 72 in. length, you just simply lower the shade at the desired length. BlindsAvenue cordless option also means the cellular shades are perfect for child and pet safety. From home offices to living rooms, nurseries to basements, blackout cellular shades are perfect for any area of your home or office. Browse our selection of colors and sizes now. We know that you will find something you love."
1-Light Polished Nickel Sconce,Filament Design,,,,,This light fixture is an incredible addition to your home offering both function and casual design. You will love how this fixture transforms your home with its eye-catching style and function. A blend of simple design and clean lines add to the minimalistic charm of this fixture.
Athena 40.5 in White Marble Computer Desk with Storage,Novogratz,,,,,"Add some mid-century style to your space with the Novogratz Athena Computer Desk with Storage. This easy to clean Desk features a faux white marble finish on the PVC laminated particleboard that pairs with the gold powder-coated metal hairpin legs for an elegant, retro style."
"A Series Buoy - 17 in. x 23 in., White",Polyform,,,,,"The A Series is the product that launched the Polyform story. This all-purpose buoy, with the signature ""blue ropehold"" has proven itself in the most adverse conditions. Making gear used in heavy seas is no easy task. That's why more fishermen use Polyform A Series than all other buoys combined. You name it - ocean, sea, river or lake - and the A Series has been there. Put your trust in Polyform's most versatile and well-known product."
39.5 in. Rustic Computer Desk,Carnegy Avenue,,,,,"Get into a normal work from home routine by setting up a dedicated office space to perform your work duties instead of the dining room table. When you need something simple and functional this folding computer desk is at your service. Setup your desktop or use as a laptop table. If you're short on space this foldable desk folds to 2.25 in. depth to store behind your sofa. Create a school environment at home for your remote learning student. This student desk can be used in the home or dorm room. No assembly required to get you working faster. The industrial style desk can be your all in. -one creative space for work, play and meals."
18.25 in. x 24.25 in. Fleur-de-lis Vinyl Backsplash Panel in Cracked Copper (5-Pack),Fasade,,,,,"Take home renovations into your own hands with Fasade Backsplash. Fasade Backsplash tiles are lightweight, flexible and easy to install, allowing even the most novice DIYers to create beautiful and luxurious spaces in their homes These versatile tiles are made of vinyl and come in numerous finishes to match any decor in your home. They are easy to cut, simply use a scissors or utility knife and can be installed using construction adhesive or Fasade Double-Sided tape. Waterproof, rust-proof and mold-proof, our products are created with you in mind. Our vinyl finishes allow quick cleanup for even the toughest messes, simply wipe clean with warm, soapy water and soft cloth. You will be grateful you chose Fasade, even years down the road."
5 gal. #PPU5-12 Almond Wisp Dead Flat Interior Paint,BEHR PRO,,,,,"BEHR PRO i300 Dead Flat Interior Paint is a professional quality latex paint with superior hide and coverage, excellent sprayability, spray and back-roll, and superior touch-up. Use on properly prepared and primed drywall, concrete, masonry, wood and metal surfaces in both residential and commercial applications. Designed for use in indoor areas."
5 gal. #390C-2 Garlic Clove Dead Flat Interior Paint,BEHR PRO,,,,,"BEHR PRO i300 Dead Flat Interior Paint is a professional quality latex paint with superior hide and coverage, excellent sprayability, spray and back-roll, and superior touch-up. Use on properly prepared and primed drywall, concrete, masonry, wood and metal surfaces in both residential and commercial applications. Designed for use in indoor areas."
Loch Rosette Double Dummy with Tine Door Lever in Black Iron,AGELESS IRON,,,,,"The Loch Rosette features a raised edge, matte black finish, and traditional round shape that's perfect in any setting. Combine with the elegant curves of the Tine Lever for refined gracefulness. Each Ageless Iron product has been tested for 12-months in Florida exposure for UV resistance and anti-corrosion."
20 in. x 30 in. Vertical Surface Mount PVC Gable Vent: Functional with Brickmould Sill Frame,Ekena Millwork,,,,,"Surface mount PVC gable vents are long-lasting, durable, and can be left white or painted upon receiving it. Available in functional and non-functional, PVC gable vents are available in a plethora of sizes and shapes, sure to fit any project. Not only are they a beautiful architectural feature, but if you select the functional option, they will also assist with airflow in your attic."
"2-1/2"" x 23-3/8"" x 23-3/8"" Polyurethane Granada Ceiling Medallion , Hand-Painted Americana",Ekena Millwork,,,,,"Our ceiling medallion collections are modeled after original historical patterns and designs. Our artisans then hand carve an original piece. Being hand carved each piece is richly detailed with deep relief, sharp lines and a truly unique touch. That master piece is then used to create a mould master. Once the mould master is created we use our high-density urethane foam to form each medallion. The finished look is a beautifully detailed, light weight, solid construction, focal piece. The resemblance to original plaster medallions is achieved only by using our high-density urethane and not vacuum formed, plastic type medallions. Medallions can be cut using standard woodworking tools to add a hole for electrical or a ceiling fan canopy. Medallions are light weight for easy installation. They are fully primed and ready for your paint. If you have any questions feel free to ask. These are in stock and available for immediate shipment."
,,,,,,
Palm Tree Scene Haitian Steel Drum Wall Art,Global Craft,,,,,"Crafted from recycled 55-gallon steel drums by village artisans in Haiti, these stunning pieces of art are truly one-of-a-kind! The process of turning sheets of metal into beautiful art is all done by hand. Steel drums used to transport oil into the capital of Haiti are cut, the oil is burned off to clean the metal, and then flattened in order to create stunning, upcycled art. Suitable for Indoor or Outdoor Use.     Type: Metal Wall Art   Colors: Metallic  Materials: Upcycled Steel Metal   Finish: Painted   Dimensions: Approx. 24 Diameter  Care: If displaying outdoors it is recommended to spray with a clear lacquer once or twice a year, as prolonged exposure to the elements will cause rust.  Hanging Instructions: To hang metal art simply use pin head nails in the many nooks and spaces available in the design. If nails are shiny, you may want to darken heads with a black marker to help nails visually disappear.    Given the handmade nature of this product please allow for minor variations. As the metal is recovered from recycled oil drums and colored through a burning process it will vary slightly in coloration. Typically the piece has a darkened steel patina. If handpainted, exact colors may vary, which speaks to the one-of-a-kind nature of each piece. Each piece of metal art whether painted or natural is coated with a layer of clear lacquer to help protect the metal."
"20 in. x 20 in. ""Kozo III"" by Greg Perkins Framed Wall Art",Unbranded,,,,,"Brighten up any room with this ready to hang art print. Your artwork is printed on North American Semi-Gloss Artisan canvas, then stretched and mounted to a 2 in. thick - hand stained black wood frame. Arrives at your door complete with an easy to use self-levelling hanging kit."
Cut-to-Width Alabaster Cordless Light Filtering Polyester 3/8 in. Top Down Bottom Up Shade 59.5 in. W x 64 in. L,Perfect Lift Window Treatment,,,,,"The Perfect Lift Window Treatment Cordless Light Filtering Top Down Bottom Up Cellular Shade is a favorite alternative window treatment for bringing in natural light as you like it. This light-filtering window shade is easy to adjust by simply holding the bottom rail and then gently raising or lowering the shade by hand. The Cordless Light Filtering Top Down Bottom Up Cellular Shade is made from a non-woven polyester in three natural colors including white, alabaster, and gray cloud, and made to fit most standard windows. Top down bottom up shades are a modern-day option to standard window blinds."
"12 in. H x 12 in. W ""Grey Elegant Horse"" by Irena Orlov Framed Printed Canvas Wall Art",Unbranded,,,,,"This painting print on canvas with floater frame, created by the Marmont Hill Art Collective, can be a good addition to any room. This print is professionally hand-stretched and will arrive with 2 D-rings mounted on the back. Assembly is not required, so it is ready to hang right out of the package."
Triena 24 in. Rich Espresso Cushioned Bar Stool,Linon Home Decor,,,,,"The Triena Ladder-Back Counter Stool from Home Decorators Collection will enhance your dining area with its casual charm. Featuring traditional ladder-back styling and slightly tapered legs for timeless allure, the rich espresso finish over the wood frame will complement many styles of decor. Comfortable with a dark brown padded vinyl seat, this stool is perfect for a kitchen counter or bar. Install in multiples for a polished and sophisticated look certain to be admired and enjoyed for years to come."
"13/16"" Dia Adjustable 28"" to 48"" Triple Curtain Rod in Black with Michelle Finials",EMOH,,,,,"Triple rod set is perfect to support three different layers of drapery of your style. Also add alluring style and refined touch to your window treatment and home decor. Triple bracket projection: wall to front rod 5.5 inch, wall to middle rod 3-3/8 inch, wall to back rod 1.5 inch."
Nexgen 96 in. Non-Adjustable Traverse Window Curtain Rod Set in White with Endcap,Art Decor,,,,,"Art Decor has developed Nexgen, the most functional non-telescoping aluminum traverse rod in North America. An innovative supports system enables your drapes to traverse without bracket interference as well as create an architecturally robust design appearance. Nexgen is heavy-duty and comes in 3 colors for a stylish, modern look."
Cstudio Home Tie Dye 3-Piece Multicolored Geometric Organic Cotton Percale Full Duvet Cover Set,The Company Store,,,,,"Tie-dye gets elevated to luxury status. Awash with optic stars in a palette of contemporary neutrals, this organic cotton percale duvet cover set is deliciously crisp and cool to the touch-our go-to choice for year-round comfort. Exclusively by The Company Store."
5 gal. #HDGR25U Vintage Rouge Red Eggshell Interior Paint with Primer,Glidden Premium,,,,,"Glidden Premium eggshell interior paint with primer offers exceptional value and a quality finish that helps beautify your bedrooms, hallways, home offices and family rooms. Glidden Premium is a Zero VOC, Low Odor paint with primer that features good hide and coverage, a scrubbable and washable coating and a thick, easy to apply formula - all backed by a Lifetime Guarantee. Glidden Premium provides a mildew resistant coating that can be tinted into more than 1,100 Glidden colors and is formulated for lasting results, often for less than other leading brands. For more than 140-years, painters have trusted Glidden and Glidden paints to help them achieve smart, beautiful results and Glidden Premium delivers on this tradition with a durable finish at an exceptional value. Colorants added to this base paint may increase VOC level significantly depending on color choice."
Tan/Rear FloorLiner/Land Rover/Range Rover/2007 - 2009/,WeatherTech,,,,,"In the quest for the most advanced concept in floor protection, the talented designers and engineers at WeatherTech have worked tirelessly to develop the most advanced floor protection available today! The WeatherTech FloorLiner accurately and completely lines the interior carpet giving ""absolute interior protection""! The WeatherTech FloorLiner lines the interior carpet up the front, back and even up the sides of the vehicles footwell. Digital laser measurements of interior surfaces offer a consistently perfect fit! A patented High-Density Tri-Extruded (HDTE) material allows for a rigid core for strength while offering surface friction to the carpet, as well as tactile feel to the surface! Advanced surfacing creates channels that carry fluids and debris to a lower reservoir with further channeling to help minimize fluid movement while driving! Once fluids become trapped in the reservoir, away from shoes and clothing, they are easily removed from the WeatherTech FloorLiner over the door sill. No muss-no fuss!"
ONE+ 18V Cordless 2-Tool Combo Kit with Power Caulk and Adhesive Gun and 5 in. Random Orbit Sander (Tools Only),RYOBI,,,,,"RYOBI introduces the 18V ONE+ Cordless 2-Tool Combo Kit with Power Caulk and Adhesive Gun and 5 in. Random Orbit Sander (Tools Only). The Power Caulk and Adhesive Gun features over 500 lbs. of push force to handle higher viscosity material with ease and can apply more than 200 tubes of caulk per charged ONE+ battery. The Random Orbit Sander delivers 10,000 orbits per minute (OPM) for a smooth, swirl-free finish on your work surface. Best of all, it is part of the RYOBI ONE+ System of over 225 Cordless Tools that all work on the same battery platform. The 18V ONE+ Combo Kit includes a Cordless Power Caulk and Adhesive Gun, a Cordless 5 in. Random Orbit Sander with an assortment of sandpaper of varying grits, and an operator's manual. Battery and charger sold separately."
,,,,,,
Privacy Barn Door 13/16 in. Satin Stainless Steel Surface Jamb Mount Modern Thumb Lever Sliding Door Lock,INOX,,,,,"Barn doors combine Old World charm with modern spatial efficiency, and now you can add a privacy function to keep pesky interlopers out and peaceful solitude in. INOX is an innovative engineering company that designs and manufactures premium decorative hardware and door locks, including this easy-install Barn Door Lock. A simple privacy lock for residential, hospitality, or commercial applications. Discretely surface mounted on the jamb, the easy 1-touch thumb lever is the way to go. Outside the door is a release for emergency access (using provided key). A barn door gifts your home or establishment with added beauty and functionality, and now it can provide privacy as well."
Cut-to-Width Gray Cloud Cordless Light Filtering Polyester 3/8 in. Cellular Shade   66.5 in. W x 72 in. L,Perfect Lift Window Treatment,,,,,"The 1 in. Cordless Light Filtering Cellular Shade is a top choice when you need natural sunlight to filter into your rooms. This non-woven polyester window covering offers PVC top and bottom rails for added durability. To operate, simply hold the bottom rail and gently raise or lower the shade by hand. The Cordless Light Filtering Cellular Shade is available in white, cream, linen, or gray cloud, and are made to fit most standard windows. Cellular shades are a practical alternative to standard window blinds. Our window blinds and shades offer safe solutions for homes and facilities where young children and pets are present."
"""Pink Watercolor Dinosaur Chart Whimsical Reptiles"" by Ziwei Li Unframed Animal Canvas Wall Art Print 36 in. x 48 in.",The Stupell Home Decor Collection,,,,,"Our stretched canvas is created with only the highest standards. We print with high quality inks and canvas, and then hand cut and stretch it over a 1.5 in. thick wooden frame. The art comes ready to hang with no installation required. Not to mention, at this size, it is sure to be the focal point of any room."
Brown P2 MDF Slab Door Stock Ready to Assemble Bath Kitchen Cabinet with Drawer,Costway,,,,,"This is our simple and elegant bathroom storage cabinet which will add charming charm to your space. Made of high quality P2 MDF, our cabinet is sturdy and can be used for a long time. Stable structure allows this cabinet to stand firmly on the ground without shaking. With an open shelf and a large cabinet, you can store items as needed to make your space tidy. The inner shelf can be adjusted, which is suitable for objects of different heights. In addition, with simple and modern design, our storage cabinet can easily match with any decoration style. It's an ideal storage solution for bathroom, living room, bedroom and hallway."
,,,,,,
,,,,,,
Rope Rosette 2-3/8 in. Backset Timeless Bronze Privacy Bed/Bath Brown Porcelain Door Knob,Nostalgic Warehouse,,,,,"Blending rich detail and subdued refinement, the Rope Rosette captures a style that has been a favorite for centuries. Adding our rich Brown Porcelain door knob serves to compliment the warm, earthen hues in your home. All Nostalgic Warehouse door knobs are mounted on a solid (not plated) forged brass base for durability and beauty."
,,,,,,
Suspension Control Arm and Ball Joint Assembly,Mevotech Supreme,,,,,"X-FACTOR : LABORSAVER enhancements including sintered metal bearing technology and thicker material for additional stiffness & strength and extended service life, and application-specific hardware and tools to save installation time. Mevotech SUPREME suspension control arm and ball joint assembly's built a reputation in the automotive industry for quality and craftmanship. We manufacture suspension control arm and ball joint assembly's for virtually every automobile on the road today. Mevotech SUPREME suspension control arm and ball joint assembly's are available for on and off road use and are designed for all weather conditions."
"Odelia Ceiling 48 in. - 84 in., 1 in. Dia Single Curtain Rod/ Room Divider in Bronze",Rod Desyne,,,,,Add an industrial touch to our line of classic curtain rod styles with our new Wall/Ceiling window treatments. Featuring brackets that can be used to mount on walls and ceilings. This 1 in. in diameter rod is the perfect touch to any window.
,,,,,,
5 gal. PPG1024-7 Friar's Brown Flat Interior Latex Paint,Glidden Premium,,,,,"Glidden Premium flat interior paint with primer offers exceptional value and a quality finish that helps beautify your low-traffic spaces such as dining rooms, master bedrooms and formal areas. Glidden Premium is a Zero VOC, Low Odor paint with primer that features good hide and coverage, a scrubbable and washable coating and a thick, easy to apply formula all backed by a Lifetime Guarantee. Glidden Premium provides a mildew resistant coating that can be tinted into more than 1,100 Glidden colors and is formulated for lasting results, often for less than other leading brands. For more than 140 years, painters have trusted Glidden and Glidden paints to help them achieve the smart, beautiful results and Glidden Premium delivers on this tradition with a durable finish at an exceptional value. Colorants added to this base paint may increase VOC level significantly depending on color choice."
Solid Border Custom Size Gray 8 in. W x 36 in. H Indoor Carpet Stair Tread Cover Slip Resistant Backing (Set of 7),Unbranded,,,,,"Our Custom Size Latex Back Stair Treads offers a large variety of Size and Designs. They are machine made, printed, synthetic (Nylon), slip resistant latex backed Customize stair treads. Exclusively cut and bonded."
7 in. x 12 in. x 12 in. Standard Scroll Architectural Grade PVC Corbel,Ekena Millwork,,,,,"These brackets are truly unique in design and function. Primarily used in decorative applications PVC brackets can make a dramatic difference in kitchens, bathrooms, entryways, fireplace surrounds, and more. This material is also perfect for exterior applications. It will not rot or crack, and is impervious to insect manifestations."
Foxtrot 16 in. L x 5 in. H x 5 in. W Clear Glass Vanity Bathroom Shelf with Towel Bar in Polished Chrome,Allied Brass,,,,,"Add space and organization to your bathroom with this simple, contemporary style glass shelf. Featuring tempered, beveled-edged glass and solid brass hardware this shelf is crafted for durability, strength and style. One of the many coordinating accessories in the Allied Brass Foxtrot Collection, this subtle glass shelf is the perfect complement to your bathroom decor."
New VPKUBIF Thick 50 Amp 2 in. 2-Pole Federal Pacific Stab-Lok Type NA Replacement Circuit Breaker,Connecticut Electric,,,,,Connecticut Electric manufactures new high quality replacement circuit breakers for Stab-Lok load centers that accept NA style circuit breakers. Circuit breakers should only be replaced with new tested and Safety Agency Listed circuit breakers. Used or refurbished circuit breakers should never be used.
Cabernet Collection 4-Light Brushed Nickel Vanity Light with White Marbleized Shade,Bel Air Lighting,,,,,"The Cabernet Collection features traditional style vanity lighting with elegant, marbleized glass shades and three finish options to choose from. This Cabernet 4-light vanity bar is finished in a warm toned brushed nickel, designed to blend seamlessly with a variety of bathroom and powder room decor styles and existing hardware. Each of the four bell-shaped shades houses a single 60-watt bulb and is open at the base to allow for directional lighting. Each piece in the Cabernet Collection can be mounted with the shades facing upwards or downwards for a customizable look."
2-Tier Brief Modern Fashion Style Coffee Table,Winado,,,,,"This is our beautiful and practical coffee table, which is perfect to outfit your living room. It brings modern style to your living room and blends well with any home Decor. The open shelf design adds an extra storage space to your room. And yet, the honeycomb plate top, particle board shelf and metal frame create a contemporary look and make the table durable."
Carrara White 12 in. x 12 in. Honed Marble Floor and Wall Tile (10 sq. ft./Case),MSI,,,,,"Enhance the look of your kitchen or bathroom with this Carrara Floor and Wall Tile. The marble-like design with polished finish creates decorative style in any indoor, outdoor, residential or commercial space. For durability, it offers a water absorption rate of less than 0.5%."
Engine Mount - Front Right,Westar,,,,,"Westar product is designed to meet or exceed OEM specifications on quality, fit, and function. Our factories use only top quality components, and manufacture to strict ISO, QS, and TS Standards, and testing. We use only the highest grade rubber and steel designed specifically for your application, and apply a finish that will not only enhance the appearance of the mount, but will also help to extend the life of the mount."
Designer Series 19.75 in. x 4.25 in. x 21 in. Roll Out Drawers,Hampton Bay,,,,,"Create the kitchen of your dreams with Hampton Bay Designer Series kitchen cabinets and accessories. Give your cabinets additional drawers, and all of the organization needed for spices or anything a busy cook should want within easy reach. Each drawer comes ready to install, and once paired with the Standards kit (required), allows you to outfit your cabinets for the way you work in the kitchen."
28 in. x 22 in. Vertical Surface Mount PVC Gable Vent: Functional with Standard Frame,Ekena Millwork,,,,,"Surface mount PVC gable vents are long-lasting, durable, and can be left white or painted upon receiving it. Available in functional and non-functional, PVC gable vents are available in a plethora of sizes and shapes, sure to fit any project. Not only are they a beautiful architectural feature, but if you select the functional option, they will also assist with airflow in your attic."
,,,,,,
